Pipolin_ID	Genome_ID	Pipolin_file	Pipolin_length	Contig_length	Genome_length	Contig_name	Contig_description	Contig_AN	Atts	Number_atts	Coordinates_atts	Length_atts	Integration_site	Genome_AN	Genome_file	Organism	Genus	Specie	AssemblyStatus	BiosampleAN	BiosampleID	Biosource	Coverage	Host	isolation_source	SRA	geo_location	Contamination_status
G_49819_0	G_49819	G_49819_0_v0.complete.single_record.gbk	17374	74172	1986363	G_49819_r_4	Limosilactobacillus reuteri strain LR5A LR5A_contig_12, whole genome shotgun sequence	PZQN01000008.1	True	2	['[0:16](+)', '[17003:17019](+)']	[16, 16]	['transfer-messenger RNA, SsrA']	GCA_003046055.1	GCA_003046055.1_ASM304605v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN08801721	8801721	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'LR5A'}], 'Sex': '', 'Isolate': ''}	90	not applicable	sourdough	NA	Turkey	Not_contaminated
G_109006_0	G_109006	G_109006_0_v0.minimal.single_record.gbk	10703	10703	2988366	G_109006_r_30	Staphylococcus aureus strain 201-71 389, whole genome shotgun sequence	VUFA01000032.1	False	0	NA	NA	NA	GCA_014831885.1	GCA_014831885.1_ASM1483188v1_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Scaffold	SAMN12642257	12642257	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '201-71'}], 'Sex': '', 'Isolate': ''}	39	Homo sapiens	SSTI	 SRS6099287	USA: New York City	Not_contaminated
G_49887_0	G_49887	G_49887_0_v0.complete.single_record.gbk	17334	230461	2056704	G_49887_r_48	Limosilactobacillus reuteri strain 100-93 NODE_1_length_230461_cov_186.994825, whole genome shotgun sequence	WJMU01000001.1	True	2	['[0:30](-)', '[16959:16989](-)']	[30, 30]	['transfer-messenger RNA, SsrA']	GCA_009649105.1	GCA_009649105.1_ASM964910v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN13186396	13186396	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '100-93'}], 'Sex': '', 'Isolate': ''}	197	mouse	gut	 SRS5640748	not applicable	Not_contaminated
G_49887_1	G_49887	G_49887_1_v0.minimal.single_record.gbk	21578	21578	2056704	G_49887_r_61	Limosilactobacillus reuteri strain 100-93 NODE_31_length_21578_cov_247.858142, whole genome shotgun sequence	WJMU01000031.1	False	0	NA	NA	NA	GCA_009649105.1	GCA_009649105.1_ASM964910v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN13186396	13186396	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '100-93'}], 'Sex': '', 'Isolate': ''}	197	mouse	gut	 SRS5640748	not applicable	Not_contaminated
G_49870_0	G_49870	G_49870_0_v0.minimal.single_record.gbk	7554	7554	2083281	G_49870_r_132	Limosilactobacillus reuteri strain KLR2003 NODE_84_length_7554_cov_3.19574_ID_7943, whole genome shotgun sequence	MIMK01000132.1	False	0	NA	NA	NA	GCA_002128585.1	GCA_002128585.1_ASM212858v1_genomic.fna	Contaminated	Contaminated	Contaminated	Contig	SAMN05751485	5751485	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'KLR2003'}], 'Sex': '', 'Isolate': ''}	237	pig	feces	NA	South Korea	Contaminated
G_129848_0	G_129848	G_129848_0_v0.minimal.single_record.gbk	8839	8839	2502901	G_129848_r_48	Staphylococcus epidermidis strain SESURV_p0_420 NODE_38_length_8839_cov_445.189_ID_7234, whole genome shotgun sequence	VPTV01000038.1	False	0	NA	NA	NA	GCA_010147005.1	GCA_010147005.1_ASM1014700v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507878	12507878	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_420'}], 'Sex': '', 'Isolate': ''}	167.727	Homo sapiens	Popliteal_fossa	 SRS5258079	USA	Not_contaminated
G_49892_0	G_49892	G_49892_0_v0.minimal.single_record.gbk	14122	14122	2020736	G_49892_r_64	Limosilactobacillus reuteri strain PTA5_F1 NODE_44_length_14122_cov_470.945, whole genome shotgun sequence	QKQE01000044.1	False	0	NA	NA	NA	GCA_009389245.1	GCA_009389245.1_ASM938924v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280115	9280115	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA5_F1'}], 'Sex': '', 'Isolate': ''}	165.048	chicken	chicken feces	NA	Switzerland	Not_contaminated
G_49907_0	G_49907	G_49907_0_v0.minimal.single_record.gbk	13857	13857	2083200	G_49907_r_86	Limosilactobacillus reuteri strain PTA5_F4 NODE_45_length_13857_cov_415.563, whole genome shotgun sequence	QKQD01000045.1	False	0	NA	NA	NA	GCA_009389285.1	GCA_009389285.1_ASM938928v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280116	9280116	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA5_F4'}], 'Sex': '', 'Isolate': ''}	148.496	chicken	chicken feces	NA	Switzerland	Not_contaminated
G_128849_0	G_128849	G_128849_0_v0.minimal.single_record.gbk	10241	10241	2607728	G_128849_r_60	Staphylococcus epidermidis strain 568_SEPI 758_10241_1636759_629+,...,697+, whole genome shotgun sequence	JVBT01000060.1	False	0	NA	NA	NA	GCA_001073435.1	GCA_001073435.1_ASM107343v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN03197769	3197769	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '568_SEPI'}], 'Sex': '', 'Isolate': ''}	13	Homo sapiens	missing	 SRS746977	USA: WA	Not_contaminated
G_105708_0	G_105708	G_105708_0_v0.minimal.single_record.gbk	11850	11850	2875106	G_105708_r_13	Staphylococcus aureus strain MRSA732 MRSA732_20, whole genome shotgun sequence	WATR01000020.1	False	0	NA	NA	NA	GCA_009456635.1	GCA_009456635.1_ASM945663v1_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Contig	SAMN12776220	12776220	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'MRSA732'}], 'Sex': '', 'Isolate': ''}	159	Homo sapiens	Nasal Surveillance	 SRS5432565	USA: Torrance, CA	Not_contaminated
G_128949_0	G_128949	G_128949_0_v0.minimal.single_record.gbk	9935	9935	2534130	G_128949_r_184	Staphylococcus epidermidis strain 890_SEPI 949_9935_636864_390_,296_,899_, whole genome shotgun sequence	JUPD01000185.1	False	0	NA	NA	NA	GCA_001074875.1	GCA_001074875.1_ASM107487v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN03198097	3198097	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '890_SEPI'}], 'Sex': '', 'Isolate': ''}	8	Homo sapiens	missing	 SRS747305	USA: WA	Not_contaminated
G_130068_0	G_130068	G_130068_0_v0.minimal.single_record.gbk	8839	8839	2547640	G_130068_r_55	Staphylococcus epidermidis strain SESURV_p0_208 NODE_44_length_8839_cov_530.438_ID_6739, whole genome shotgun sequence	VPMF01000044.1	False	0	NA	NA	NA	GCA_010150945.1	GCA_010150945.1_ASM1015094v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507680	12507680	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_208'}], 'Sex': '', 'Isolate': ''}	139.929	Homo sapiens	L_thumb	 SRS5257548	USA	Not_contaminated
G_6812_0	G_6812	G_6812_0_v0.minimal.single_record.gbk	40097	40097	3997543	G_6812_r_120	Blautia obeum strain DFI.6.94 ALBCGAJC_31, whole genome shotgun sequence	JAJCIU010000031.1	False	0	NA	NA	NA	GCA_020555525.1	GCA_020555525.1_ASM2055552v1_genomic.fna	Blautia obeum (firmicutes)	Blautia	Blautia obeum	Contig	SAMN22167578	22167578	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DFI.6.94'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	fecal sample	NA	USA:Chicago	Not_contaminated
G_49909_0	G_49909	G_49909_0_v0.minimal.single_record.gbk	7459	7459	1998598	G_49909_r_92	Limosilactobacillus reuteri strain PTA6_F8 NODE_60_length_7459_cov_105.909, whole genome shotgun sequence	QKPQ01000060.1	False	0	NA	NA	NA	GCA_009389005.1	GCA_009389005.1_ASM938900v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280129	9280129	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA6_F8'}], 'Sex': '', 'Isolate': ''}	62.7213	chicken	chicken feces	NA	Switzerland	Not_contaminated
G_49956_0	G_49956	G_49956_0_v0.minimal.single_record.gbk	7385	7385	2041920	G_49956_r_149	Limosilactobacillus reuteri strain PTA6_C2 NODE_61_length_7385_cov_144.953, whole genome shotgun sequence	QKPW01000061.1	False	0	NA	NA	NA	GCA_009389115.1	GCA_009389115.1_ASM938911v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280123	9280123	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA6_C2'}], 'Sex': '', 'Isolate': ''}	170.552	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_107595_0	G_107595	G_107595_0_v0.minimal.single_record.gbk	8927	8927	2854562	G_107595_r_28	Staphylococcus aureus strain SH-WF22 34, whole genome shotgun sequence	JAANWQ010000034.1	False	0	NA	NA	NA	GCA_011291995.1	GCA_011291995.1_ASM1129199v1_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Contig	SAMN14330687	14330687	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SH-WF22'}], 'Sex': '', 'Isolate': ''}	357	swine	nasal swab	NA	China: Shanghai	Not_contaminated
G_128746_0	G_128746	G_128746_0_v0.minimal.single_record.gbk	13713	13713	2518613	G_128746_r_105	Staphylococcus epidermidis strain 1249_SEPI 564_13713_1517046_503_,...,42+, whole genome shotgun sequence	JVXB01000116.1	False	0	NA	NA	NA	GCA_001068895.1	GCA_001068895.1_ASM106889v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN03197215	3197215	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1249_SEPI'}], 'Sex': '', 'Isolate': ''}	35	Homo sapiens	missing	 SRS746423	USA: WA	Not_contaminated
G_136566_0	G_136566	G_136566_0_v0.minimal.single_record.gbk	7760	7760	2544623	G_136566_p_3	Staphylococcus warneri strain GD01 plasmid p3GD01, complete sequence	CP038245.1	False	0	NA	NA	NA	GCA_007833855.1	GCA_007833855.1_ASM783385v1_genomic.fna	Staphylococcus warneri (firmicutes)	Staphylococcus	Staphylococcus warneri	Complete Genome	SAMN10687116	10687116	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'GD01'}], 'Sex': '', 'Isolate': ''}	555	porcine	muscle abscess tissue	NA	China: Guangdong	Not_contaminated
G_128794_0	G_128794	G_128794_0_v0.minimal.single_record.gbk	11611	11611	2549473	G_128794_r_30	Staphylococcus epidermidis strain 1026_SEPI 232_11611_342340, whole genome shotgun sequence	JWFS01000043.1	False	0	NA	NA	NA	GCA_001068505.1	GCA_001068505.1_ASM106850v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN03196990	3196990	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1026_SEPI'}], 'Sex': '', 'Isolate': ''}	24	Homo sapiens	missing	 SRS746198	USA: WA	Not_contaminated
G_136176_0	G_136176	G_136176_0_v0.minimal.single_record.gbk	8895	8895	5867711	G_136176_r_96	Staphylococcus sp. AS6 NODE_187_length_8895_cov_29.7117, whole genome shotgun sequence	VSRZ01000187.1	False	0	NA	NA	NA	GCA_009805725.1	GCA_009805725.1_ASM980572v1_genomic.fna	Contaminated	Contaminated	Contaminated	Contig	SAMN12606148	12606148	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'AS6'}], 'Sex': '', 'Isolate': ''}	114	NA	wastewater	NA	Pakistan	Contaminated
G_48831_0	G_48831	G_48831_0_v0.complete.single_record.gbk	8610	15060	2544161	G_48831_r_12	Lentilactobacillus parakefiri strain DSM 10551 731, whole genome shotgun sequence	PUFL01000052.1	True	2	['[0:48](+)', '[8537:8585](+)']	[48, 48]	['tRNA-Arg']	GCA_004354625.1	GCA_004354625.1_ASM435462v1_genomic.fna	Lentilactobacillus parakefiri (firmicutes)	Lentilactobacillus	Lentilactobacillus parakefiri	Scaffold	SAMN08556539	8556539	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DSM 10551'}], 'Sex': '', 'Isolate': ''}	60	NA	missing	NA	Denmark	Not_contaminated
G_48117_0	G_48117	G_48117_0_v0.complete.single_record.gbk	15641	133132	2234040	G_48117_r_22	Lactobacillus sp. M31 LR31_S1_L001_R1_001__paired__contig_29, whole genome shotgun sequence	QORN01000029.1	True	2	['[0:32](-)', '[15267:15299](-)']	[32, 32]	['transfer-messenger RNA, SsrA']	GCA_014830205.1	GCA_014830205.1_ASM1483020v1_genomic.fna	Lactobacillus sp. M31 (firmicutes)	Lactobacillus	Lactobacillus sp. M31	Contig	SAMN09636338	9636338	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'M31'}], 'Sex': '', 'Isolate': ''}	173	NA	fecal contaminated soil	NA	India: Chandigarh	Not_contaminated
G_6995_0	G_6995	G_6995_0_v0.minimal.single_record.gbk	15607	15607	3072050	G_6995_r_56	Butyricicoccus sp. AM29-23AC AM29-23AC.Scaf45, whole genome shotgun sequence	QUJF01000045.1	False	0	NA	NA	NA	GCA_003480485.1	GCA_003480485.1_ASM348048v1_genomic.fna	Butyricicoccus sp. AM29-23AC (firmicutes)	Butyricicoccus	Butyricicoccus sp. AM29-23AC	Scaffold	SAMN09736400	9736400	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'AM29-23AC'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	feces	NA	China: Shenzhen	Not_contaminated
G_130191_0	G_130191	G_130191_0_v0.minimal.single_record.gbk	8839	8839	2538802	G_130191_r_30	Staphylococcus epidermidis strain SESURV_p0_20 NODE_37_length_8839_cov_626.646_ID_3729, whole genome shotgun sequence	VPGC01000037.1	False	0	NA	NA	NA	GCA_010154115.1	GCA_010154115.1_ASM1015411v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507521	12507521	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_20'}], 'Sex': '', 'Isolate': ''}	147.783	Homo sapiens	L_cheek	 SRS5258369	USA	Not_contaminated
G_136197_0	G_136197	G_136197_0_v0.minimal.single_record.gbk	10075	10075	2569697	G_136197_r_55	Staphylococcus sp. HMSC13A10 genomic scaffold Scaffold66, whole genome shotgun sequence	KV791876.1	False	0	NA	NA	NA	GCA_001808005.1	unplaced.scaf.fna	Contaminated	Contaminated	Contaminated	Scaffold	SAMN03287024	3287024	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'HMSC13A10'}], 'Sex': '', 'Isolate': ''}	371	Homo sapiens	urinary tract	 SRS821529	NA	Contaminated
G_50030_0	G_50030	G_50030_0_v0.minimal.single_record.gbk	19165	19165	2341205	G_50030_r_37	Limosilactobacillus reuteri strain R.n.1-B scaffold131, whole genome shotgun sequence	JAJGTN010000131.1	False	0	NA	NA	NA	GCA_020784435.1	GCA_020784435.1_ASM2078443v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258656	22258656	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'R.n.1-B'}], 'Sex': '', 'Isolate': ''}	500	Rattus norvegicus	NA	 SRS10629428	Canada:Edmonton	Not_contaminated
G_49871_0	G_49871	G_49871_0_v0.minimal.single_record.gbk	5978	5978	2372183	G_49871_r_9	Limosilactobacillus reuteri strain KLR3006 NODE_108_length_5978_cov_3.25293_ID_14325, whole genome shotgun sequence	MIMV01000009.1	False	0	NA	NA	NA	GCA_002128765.1	GCA_002128765.1_ASM212876v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN05751496	5751496	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'KLR3006'}], 'Sex': '', 'Isolate': ''}	224	pig	feces	NA	South Korea	Not_contaminated
G_132944_0	G_132944	G_132944_0_v0.minimal.single_record.gbk	8845	8845	2260555	G_132944_r_47	Staphylococcus hominis strain S00278 Ga0436343_47, whole genome shotgun sequence	JACHLT010000047.1	False	0	NA	NA	NA	GCA_014204615.1	GCA_014204615.1_ASM1420461v1_genomic.fna	Staphylococcus hominis (firmicutes)	Staphylococcus	Staphylococcus hominis	Scaffold	SAMN14908253	14908253	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'S00278'}], 'Sex': '', 'Isolate': ''}	663	not applicable	missing	 SRS7169329; DOE Joint Genome Institute: Gp0478686	USA: Texas	Not_contaminated
G_49984_0	G_49984	G_49984_0_v0.minimal.single_record.gbk	17550	17550	2095508	G_49984_r_65	Limosilactobacillus reuteri strain AP3 scaffold157, whole genome shotgun sequence	JACIUX010000157.1	False	0	NA	NA	NA	GCA_014145445.1	GCA_014145445.1_ASM1414544v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN15676324	15676324	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'AP3'}], 'Sex': '', 'Isolate': ''}	1068	Argus pheasant	gastrointestinal tract	NA	USA: Lincoln, Nebraska	Not_contaminated
G_131542_0	G_131542	G_131542_0_v0.minimal.single_record.gbk	1427	1427	2559934	G_131542_r_15	Staphylococcus epidermidis strain 035P1FS1 NODE_23_length_1427_cov_261.922963, whole genome shotgun sequence	JAINHT010000023.1	False	0	NA	NA	NA	GCA_021990885.1	GCA_021990885.1_ASM2199088v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN20719732	20719732	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '035P1FS1'}], 'Sex': '', 'Isolate': ''}	200	NA	not applicable	NA	China	Not_contaminated
G_131542_1	G_131542	G_131542_1_v0.minimal.single_record.gbk	7743	7743	2559934	G_131542_r_9	Staphylococcus epidermidis strain 035P1FS1 NODE_18_length_7743_cov_264.063527, whole genome shotgun sequence	JAINHT010000018.1	False	0	NA	NA	NA	GCA_021990885.1	GCA_021990885.1_ASM2199088v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN20719732	20719732	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '035P1FS1'}], 'Sex': '', 'Isolate': ''}	200	NA	not applicable	NA	China	Not_contaminated
