protein_ID	InterproScan
G_49921_0_4_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_50055_0_4_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction
G_49787_0_13_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction
G_49938_0_27_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction
G_131395_0_24_Staphylococcus_epidermidis	-, Coil, consensus disorder prediction, MobA/MobL family, MobA/MobL protein
G_49851_0_15_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_49853_0_7_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_50111_0_7_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_49951_0_15_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_50048_0_20_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_49978_0_15_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_49986_0_20_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_50003_0_15_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_50037_0_20_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_50067_0_15_Limosilactobacillus_reuteri	MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains, PURINE EFFLUX PUMP PBUE, -, Major Facilitator Superfamily, Major facilitator superfamily, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS_NepI_like, Prokaryotic membrane lipoprotein lipid attachment site profile.
G_132515_0_24_Staphylococcus_haemolyticus	UCP012565, YutD-like, Protein of unknown function (DUF1027), -, YutD-like superfamily
G_48209_0_5_Lactobacillus_sp._UMNPBX2	Helix-turn-helix domain, Transposase IS30-like HTH domain, Ribonuclease H-like, Ribonuclease H-like superfamily, -, Ribonuclease H superfamily, TRANSPOSASE, Integrase catalytic domain profile., Integrase, catalytic core
G_49661_0_21_Ligilactobacillus_salivarius	Helix-turn-helix domain, Transposase IS30-like HTH domain, Ribonuclease H-like, Ribonuclease H-like superfamily, -, Ribonuclease H superfamily, TRANSPOSASE, Integrase catalytic domain profile., Integrase, catalytic core
G_46088_0_20_Lacticaseibacillus_zeae	Aminoacyl-transfer RNA synthetases class-I signature., Aminoacyl-tRNA synthetase, class I, conserved site, VALYL-TRNA SYNTHETASES, Valine-tRNA ligase, Nucleotidylyl transferase, -, Anticodon-binding domain of tRNA ligase, Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding, Coil, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, tRNA synthetases class I (I, L, M and V), Aminoacyl-tRNA synthetase, class Ia, Valine--tRNA ligase [valS]., VALYL-TRNA SYNTHETASE, ISOFORM C, valS: valine--tRNA ligase, Valyl-tRNA synthetase, tRNA-binding arm superfamily, Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases, Aminoacyl-tRNA synthetase, class Ia, anticodon-binding, Valyl tRNA synthetase tRNA binding arm, Valyl-tRNA synthetase,  tRNA-binding arm, ValRS_core, Anticodon_Ia_Val, Valyl tRNA synthetase, anticodon-binding domain, ValRS/IleRS/LeuRS editing domain, Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain, tRNA-binding arm, Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm, Valyl-tRNA synthetase signature
G_49852_0_4_Limosilactobacillus_reuteri	-, Osmoprotection protein (prox); domain 2, Substrate binding domain of ABC-type glycine betaine transport system, ABC-type glycine betaine transport system, substrate-binding domain, Periplasmic binding protein-like II, GLYCINE BETAINE UPTAKE SYSTEM PERMEASE PROTEIN YEHW, GLYCINE BETAINE/L-PROLINE TRANSPORT SYSTEM PERMEASE PROTEIN PROW
G_97256_0_20_Loigolactobacillus_backii	Folylpolyglu_synth, Folylpolyglutamate synthetase, Folylpolyglutamate synthase signature 2., Folylpolyglutamate synthetase, conserved site, FOLYLPOLYGLUTAMATE SYNTHASE-RELATED, MurD-like peptide ligases, catalytic domain, Mur-like, catalytic domain superfamily, -, Mur ligase family, glutamate ligase domain, Mur ligase, C-terminal, DIHYDROFOLATE SYNTHETASE-RELATED, MurD-like peptide ligases, peptide-binding domain, Mur ligase, C-terminal domain superfamily, Mur ligase middle domain, Mur ligase, central, Folylpolyglutamate synthase signature 1., folC: bifunctional protein FolC
G_49991_0_54_Limosilactobacillus_reuteri	Formyltransferase, Formyl transferase, N-terminal domain superfamily, -, FMT_core_GART, Phosphoribosylglycinamide formyltransferase, Phosphoribosylglycinamide formyltransferase [purN]., Formyl transferase, Formyl transferase, N-terminal, PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE, PurN: phosphoribosylglycinamide formyltransferase
G_6756_0_14_Blautia_sp._OM07-19	ACT-like, ACT-like domain, SDH_B, Iron-sulphur-dependent L-serine dehydratase beta subunit, -, Allosteric substrate binding domain superfamily, L-SERINE DEHYDRATASE, BETA CHAIN-RELATED, sda_beta: L-serine dehydratase, iron-sulfur-dependent, beta subunit, ACT_LSD, Serine dehydratase beta chain, Serine metabolism enzymes domain, L-SERINE DEHYDRATASE, ACT domain profile., ACT domain
G_136525_0_4_Staphylococcus_warneri	Coil, -, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases active site., Recombinase, conserved site, SERINE RECOMBINASE PINE-RELATED, Resolvase, N terminal domain, Site-specific recombinases signature 2., DNA-INVERTASE FROM LAMBDOID PROPHAGE, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, SR_ResInv
G_136482_0_4_Staphylococcus_warneri	Coil, -, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases active site., Recombinase, conserved site, SERINE RECOMBINASE PINE-RELATED, Resolvase, N terminal domain, Site-specific recombinases signature 2., DNA-INVERTASE FROM LAMBDOID PROPHAGE, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, SR_ResInv
G_100718_0_6_Ruminococcus_sp._OM05-10BH	Family of unknown function (DUF6198), Protein of unknown function DUF6198, INTEGRAL MEMBRANE PROTEIN-RELATED, Uncharacterized protein YczE/YyaS-like
G_49810_0_24_Limosilactobacillus_reuteri	Phosphate-starvation-inducible E family, Phosphate-starvation-induced PsiE-like
G_48117_0_14_Lactobacillus_sp._M31	HTH_XRE, Cro/C1-type helix-turn-helix domain, Helix-turn-helix, -, Lambda repressor-like, DNA-binding domain superfamily, mbf_short4, Cro/C1-type HTH domain profile., lambda repressor-like DNA-binding domains
G_6571_0_16_Blautia_obeum	Aminopeptidase I zinc metalloprotease (M18), Peptidase M18, Aminopeptidase/glucanase lid domain, -, M18 FAMILY AMINOPEPTIDASE 1-RELATED, Aminopeptidase i, Domain 2, Peptidase M18, domain 2, Zn-dependent exopeptidases, ASPARTYL AMINOPEPTIDASE, Zn peptidases, Aminopeptidase I zinc metalloprotease (M18) signature
G_49907_0_7_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_169371_0_14_Trichococcus_ilyis	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_169491_0_46_Trichococcus_ilyis	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_100380_0_28_Roseburia_inulinivorans	Aldolase class I, Aldolase-type TIM barrel, Thiamin phosphate synthase, Thiamin phosphate synthase superfamily
G_169491_0_19_Trichococcus_ilyis	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast, Ribosomal protein L18, -, Translational machinery components, Ribosomal_L18_L5e, 39S RIBOSOMAL PROTEIN L18, MITOCHONDRIAL, L18_bact: ribosomal protein uL18, Ribosomal protein L18, bacterial-type, 50S ribosomal protein L18 [rplR].
G_169371_0_41_Trichococcus_ilyis	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast, Ribosomal protein L18, -, Translational machinery components, Ribosomal_L18_L5e, 39S RIBOSOMAL PROTEIN L18, MITOCHONDRIAL, L18_bact: ribosomal protein uL18, Ribosomal protein L18, bacterial-type, 50S ribosomal protein L18 [rplR].
G_105570_0_24_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_105545_0_1_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_50089_1_8_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_50166_1_8_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_50100_1_8_Limosilactobacillus_reuteri	Ribonuclease H-like, Ribonuclease H-like superfamily
G_132557_0_21_Staphylococcus_haemolyticus	Alpha/beta hydrolase of unknown function (DUF915), Protein of unknown function DUF915, hydrolase-like, Prokaryotic membrane lipoprotein lipid attachment site profile., -
G_132515_0_30_Staphylococcus_haemolyticus	LTA_dltB: D-alanyl-lipoteichoic acid biosynthesis protein DltB, D-alanyl transfer protein DltB, DltB, AlgI_DltB, Alginate O-acetyltransferase AlgI/D-alanyl transfer protein DltB, MBOAT, membrane-bound O-acyltransferase family, Membrane bound O-acyl transferase, MBOAT, ACYLTRANSFERASE, -, PROTEIN-CYSTEINE N-PALMITOYLTRANSFERASE RASP
G_132158_0_9_Staphylococcus_epidermidis	Beta-lactamase enzyme family, Beta-lactamase class A, catalytic domain, -, Beta-lactamase/transpeptidase-like, Beta-lactamase class-A active site., Beta-lactamase, class-A active site, beta-lactamase/transpeptidase-like, Beta-lactamase class A signature, Beta-lactamase, class-A, Prokaryotic membrane lipoprotein lipid attachment site profile., Prokaryotic membrane lipoprotein lipid attachment site, Membrane lipoprotein, lipid attachment site, BETA-LACTAMASE
G_169371_0_25_Trichococcus_ilyis	CHORISMATE MUTASE, -, Chorismate mutase domain profile., Chorismate mutase II, prokaryotic-type, Chorismate mutase, Chorismate mutase domain superfamily, CM_mono_grmpos: chorismate mutase, Chorismate mutase, Gram-positive, Chorismate mutase II, Chorismate mutase type II superfamily, Coil, CM_2_4, Chorismate mutase type II
G_169491_0_35_Trichococcus_ilyis	CHORISMATE MUTASE, -, Chorismate mutase domain profile., Chorismate mutase II, prokaryotic-type, Chorismate mutase, Chorismate mutase domain superfamily, CM_mono_grmpos: chorismate mutase, Chorismate mutase, Gram-positive, Chorismate mutase II, Chorismate mutase type II superfamily, Coil, CM_2_4, Chorismate mutase type II
G_6710_0_40_Blautia_obeum	Aminopeptidase/glucanase lid domain, -, M18 FAMILY AMINOPEPTIDASE 1-RELATED, Aminopeptidase I zinc metalloprotease (M18) signature, Peptidase M18, ASPARTYL AMINOPEPTIDASE, Zn-dependent exopeptidases, Zn peptidases, Aminopeptidase i, Domain 2, Peptidase M18, domain 2, Aminopeptidase I zinc metalloprotease (M18)
G_49991_0_17_Limosilactobacillus_reuteri	CDF: cation diffusion facilitator family transporter, Cation efflux protein, Cation efflux protein, cytoplasmic domain, Cation efflux protein, cytoplasmic domain superfamily, MITOCHONDRIAL METAL TRANSPORTER 1-RELATED, -, Cation efflux protein transmembrane domain-like, Cation efflux transmembrane domain superfamily, Cation efflux protein cytoplasmic domain-like, Cation efflux family, Dimerisation domain of Zinc Transporter, Cation efflux protein transmembrane domain
G_136534_0_7_Staphylococcus_warneri	Coil, -, DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_49851_0_9_Limosilactobacillus_reuteri	Helicase conserved C-terminal domain, Helicase, C-terminal, EcoEI R protein C-terminal, EcoEI R protein C-terminal domain, -, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, Superfamilies 1 and 2 helicase C-terminal domain profile., P-loop containing nucleoside triphosphate hydrolase, consensus disorder prediction, SF2_C_EcoAI-like, Coil, ultradead3, Helicase superfamily 1/2, ATP-binding domain, DEXHc_RE_I_III_res, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., TYPE I RESTRICTION ENZYME ECOKI R PROTEIN, P-loop containing nucleoside triphosphate hydrolases
G_49853_0_13_Limosilactobacillus_reuteri	Helicase conserved C-terminal domain, Helicase, C-terminal, EcoEI R protein C-terminal, EcoEI R protein C-terminal domain, -, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, Superfamilies 1 and 2 helicase C-terminal domain profile., P-loop containing nucleoside triphosphate hydrolase, consensus disorder prediction, SF2_C_EcoAI-like, Coil, ultradead3, Helicase superfamily 1/2, ATP-binding domain, DEXHc_RE_I_III_res, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., TYPE I RESTRICTION ENZYME ECOKI R PROTEIN, P-loop containing nucleoside triphosphate hydrolases
G_49951_0_9_Limosilactobacillus_reuteri	Helicase conserved C-terminal domain, Helicase, C-terminal, EcoEI R protein C-terminal, EcoEI R protein C-terminal domain, -, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, Superfamilies 1 and 2 helicase C-terminal domain profile., P-loop containing nucleoside triphosphate hydrolase, consensus disorder prediction, SF2_C_EcoAI-like, Coil, ultradead3, Helicase superfamily 1/2, ATP-binding domain, DEXHc_RE_I_III_res, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., TYPE I RESTRICTION ENZYME ECOKI R PROTEIN, P-loop containing nucleoside triphosphate hydrolases
G_131395_0_28_Staphylococcus_epidermidis	Vicinal oxygen chelate (VOC) domain profile., Vicinal oxygen chelate (VOC) domain, Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily, Glyoxalase/fosfomycin resistance/dioxygenase domain, -, Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase, RING-CLEAVING DIOXYGENASE MHQE-RELATED
G_132158_0_4_Staphylococcus_epidermidis	-, Winged helix-like DNA-binding domain superfamily, HTH domain, Helix-turn-helix, type 11
G_131247_0_13_Staphylococcus_epidermidis	-, Winged helix-like DNA-binding domain superfamily, HTH domain, Helix-turn-helix, type 11
G_21819_0_4_Clostridium_sp._SY8519	Polysaccharide pyruvyl transferase
G_49977_0_16_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction
G_49584_0_11_Limosilactobacillus_agrestis	Coil, -, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile., Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, HxlR-like helix-turn-helix, Winged helix-like DNA-binding domain superfamily
G_100623_0_27_Ruminococcus_sp._AF31-16BH	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain, Xaa-Pro dipeptidyl-peptidase, C-terminal, PEPTIDASE S9 PROLYL OLIGOPEPTIDASE, -, alpha/beta hydrolase, Alpha/Beta hydrolase fold, COCE/NOND FAMILY, PUTATIVE (AFU_ORTHOLOGUE AFUA_7G00600)-RELATED, PepX_C_2, alpha/beta-Hydrolases, Galactose-binding domain-like, Galactose-binding-like domain superfamily, /NonD: hydrolase CocE/NonD family protein, CocE/Serine esterase, X-Pro dipeptidyl-peptidase (S15 family), Xaa-Pro dipeptidyl-peptidase-like domain
G_49991_0_48_Limosilactobacillus_reuteri	consensus disorder prediction, -, Family of unknown function (DUF6467), Protein of unknown function DUF6467
G_49852_0_51_Limosilactobacillus_reuteri	consensus disorder prediction, -, Family of unknown function (DUF6467), Protein of unknown function DUF6467
G_49852_0_3_Limosilactobacillus_reuteri	ABC transporter integral membrane type-1 domain profile., ABC transporter type 1, transmembrane domain MetI-like, Binding-protein-dependent transport system inner membrane component, GLYCINE BETAINE/L-PROLINE TRANSPORT SYSTEM PERMEASE PROTEIN PROW, -, TM_PBP2, MetI-like superfamily, MetI-like
G_6756_0_7_Blautia_sp._OM07-19	Putative inner membrane protein (DUF1819), BrxA, uncharacterized protein from magnetospirillum magneticum domain, BrxA superfamily
G_50090_1_8_Limosilactobacillus_reuteri	Coil, -, LPXTG cell wall anchor motif, LPXTG cell wall anchor domain, Gram-positive cocci surface proteins LPxTG motif profile., Apolipoprotein, consensus disorder prediction, LPXTG_anchor: LPXTG cell wall anchor domain
G_50111_0_3_Limosilactobacillus_reuteri	RMtype1_S_Apa101655I-TRD2-CR2_like, -, DNA methylase specificity domain, DNA methylase specificity domains, Type I restriction modification DNA specificity domain superfamily, Type I restriction modification DNA specificity domain, TYPE-1 RESTRICTION ENZYME ECOKI SPECIFICITY PROTEIN, Coil
G_50051_0_24_Limosilactobacillus_reuteri	Homodimeric domain of signal transducing histidine kinase, Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily, Bacterial sensor protein C-terminal signature, Signal transduction histidine kinase-related protein, C-terminal, HAMP_11, HAMP domain, HATPase, -, HKATPase_4, Histidine kinase/HSP90-like ATPase, Coil, SENSOR PROTEIN SRRB, Histidine kinase/HSP90-like ATPase superfamily, His Kinase A (phospho-acceptor) domain, Signal transduction histidine kinase, dimerisation/phosphoacceptor domain, TWO-COMPONENT HISTIDINE KINASE, HAMP, Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase, HisKA, HisKA_10, Histidine kinase domain profile., Histidine kinase domain, ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase, HAMP domain-like, HAMP domain profile.
G_50057_0_14_Limosilactobacillus_reuteri	Homodimeric domain of signal transducing histidine kinase, Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily, Bacterial sensor protein C-terminal signature, Signal transduction histidine kinase-related protein, C-terminal, HAMP_11, HAMP domain, HATPase, -, HKATPase_4, Histidine kinase/HSP90-like ATPase, Coil, SENSOR PROTEIN SRRB, Histidine kinase/HSP90-like ATPase superfamily, His Kinase A (phospho-acceptor) domain, Signal transduction histidine kinase, dimerisation/phosphoacceptor domain, TWO-COMPONENT HISTIDINE KINASE, HAMP, Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase, HisKA, HisKA_10, Histidine kinase domain profile., Histidine kinase domain, ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase, HAMP domain-like, HAMP domain profile.
G_129276_0_5_Staphylococcus_epidermidis	LPXTG cell wall anchor motif, LPXTG cell wall anchor domain, Gram-positive cocci surface proteins LPxTG motif profile., consensus disorder prediction, -, LPXTG_anchor: LPXTG cell wall anchor domain
G_21819_0_23_Clostridium_sp._SY8519	Rhomboid-like, Rhomboid-like superfamily, Rhomboid family, Peptidase S54, rhomboid domain, RHOMBOID PROTEASE GLPG, -, RHOMBOID-RELATED PROTEIN
G_48191_0_1_Lactobacillus_sp._UMNPBX10	-, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., Cro/C1-type helix-turn-helix domain, HTH_XRE, Helix-turn-helix, mbf_short4, lambda repressor-like DNA-binding domains
G_49753_0_4_Limosilactobacillus_ingluviei	-, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH domain profile., Cro/C1-type helix-turn-helix domain, HTH_XRE, Helix-turn-helix, mbf_short4, lambda repressor-like DNA-binding domains
G_131949_0_9_Staphylococcus_epidermidis	Coil, -, Bacterial mobilisation protein (MobC), Bacterial mobilisation
G_131572_0_5_Staphylococcus_epidermidis	Coil, -, Bacterial mobilisation protein (MobC), Bacterial mobilisation
G_49593_1_27_Limosilactobacillus_coleohominis	HUPs, Rossmann-like alpha/beta/alpha sandwich fold, DALR domain, Cysteinyl-tRNA synthetase, class Ia, DALR, tRNA synthetases class I (C) catalytic domain, tRNA synthetases class I, catalytic domain, -, cysS: cysteine--tRNA ligase, Cysteine-tRNA ligase, dalr_2_4, CYSTEINYL-TRNA SYNTHETASE, Cysteinyl-tRNA synthetase/mycothiol ligase, Nucleotidylyl transferase, Coil, Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases, Aminoacyl-tRNA synthetase, class Ia, anticodon-binding, Cysteinyl-tRNA synthetase signature, CysRS_core, Cysteine--tRNA ligase [cysS].
G_100718_0_33_Ruminococcus_sp._OM05-10BH	Bacterial mobilisation protein (MobC), Bacterial mobilisation
G_100627_0_2_Ruminococcus_sp._AF21-3	-, Phosphoribosyltransferase-like, PRTase-like, N-terminal domain of ribose phosphate pyrophosphokinase, Ribose-phosphate pyrophosphokinase, N-terminal domain
G_49864_0_7_Limosilactobacillus_reuteri	-, ANTITOXIN YAFN-RELATED, ANTITOXIN YEFM, phd_fam: prevent-host-death family protein, Antitoxin Phd_YefM, type II toxin-antitoxin system, Type II toxin-antitoxin system, antitoxin Phd/YefM, YefM-like, YefM-like superfamily
