query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
G_100718_0_6_Ruminococcus_sp._OM05-10BH	500632.CLONEX_00791	1.09e-104	308.0	COG2364@1|root,COG2364@2|Bacteria,1US08@1239|Firmicutes,24DPK@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_7_Ruminococcus_sp._OM05-10BH	411468.CLOSCI_02655	1.18e-16	74.3	2EIA7@1|root,33C1J@2|Bacteria,1VMCK@1239|Firmicutes,24W47@186801|Clostridia,220YP@1506553|Lachnoclostridium	186801|Clostridia	S	Protein of unknown function (DUF2508)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2508
G_100718_0_8_Ruminococcus_sp._OM05-10BH	1235798.C817_03000	1.72e-21	86.3	2EK87@1|root,33DYJ@2|Bacteria,1VMI8@1239|Firmicutes,25AEV@186801|Clostridia,27VXB@189330|Dorea	186801|Clostridia	S	SigmaK-factor processing regulatory protein BofA	-	-	-	-	-	-	-	-	-	-	-	-	BofA
G_100718_0_9_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2710	1.48e-203	570.0	COG1192@1|root,COG1192@2|Bacteria,1V11K@1239|Firmicutes,24BU2@186801|Clostridia	186801|Clostridia	D	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_10_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2709	8.18e-146	414.0	COG4962@1|root,COG4962@2|Bacteria,1TQ0Z@1239|Firmicutes,249VS@186801|Clostridia	186801|Clostridia	U	Type II IV secretion system protein	ptlH	-	-	ko:K02283	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	T2SSE
G_100718_0_11_Ruminococcus_sp._OM05-10BH	1408323.JQKK01000005_gene232	2.17e-273	763.0	COG1961@1|root,COG1961@2|Bacteria,1TPBH@1239|Firmicutes,24I4I@186801|Clostridia	186801|Clostridia	L	Resolvase, N terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Recombinase,Resolvase
G_100718_0_12_Ruminococcus_sp._OM05-10BH	1042156.CXIVA_07920	3.69e-106	312.0	2F7CS@1|root,33ZTU@2|Bacteria,1VY60@1239|Firmicutes,24P58@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Resolvase
G_100718_0_14_Ruminococcus_sp._OM05-10BH	1408323.JQKK01000005_gene235	6.07e-13	63.9	2AF24@1|root,3150M@2|Bacteria,1UUAW@1239|Firmicutes,2566F@186801|Clostridia	186801|Clostridia	S	Helix-turn-helix domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17
G_100718_0_15_Ruminococcus_sp._OM05-10BH	1410626.JHXB01000020_gene809	1.41e-46	159.0	COG1396@1|root,COG1396@2|Bacteria,1V1JY@1239|Firmicutes,24HXG@186801|Clostridia,27KBW@186928|unclassified Lachnospiraceae	186801|Clostridia	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
G_100718_0_16_Ruminococcus_sp._OM05-10BH	1069534.LRC_03700	2.26e-167	478.0	COG1262@1|root,COG1262@2|Bacteria,1UYYU@1239|Firmicutes	1239|Firmicutes	S	SEFIR domain	-	-	-	-	-	-	-	-	-	-	-	-	SEFIR
G_100718_0_18_Ruminococcus_sp._OM05-10BH	537007.BLAHAN_06196	1.84e-45	150.0	2C5R4@1|root,30S72@2|Bacteria,1V578@1239|Firmicutes,24IJT@186801|Clostridia,3Y0N9@572511|Blautia	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	TnpV
G_100718_0_19_Ruminococcus_sp._OM05-10BH	1226325.HMPREF1548_00775	1.26e-31	111.0	COG3655@1|root,COG3655@2|Bacteria,1VEM0@1239|Firmicutes,24QPN@186801|Clostridia,36MSY@31979|Clostridiaceae	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_26
G_100718_0_20_Ruminococcus_sp._OM05-10BH	888727.HMPREF9092_0521	0.0	1218.0	COG4096@1|root,COG4096@2|Bacteria,1UI7V@1239|Firmicutes,25ED3@186801|Clostridia	186801|Clostridia	L	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases	hsdR	-	3.1.21.3	ko:K01153	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	DUF4145,EcoEI_R_C,HSDR_N,HSDR_N_2,Helicase_C,ResIII
G_100718_0_21_Ruminococcus_sp._OM05-10BH	888727.HMPREF9092_0522	4.48e-303	832.0	COG0286@1|root,COG0286@2|Bacteria,1TPGZ@1239|Firmicutes,247RY@186801|Clostridia,3WDKY@538999|Clostridiales incertae sedis	186801|Clostridia	V	N-6 DNA Methylase	hsdM	-	2.1.1.72	ko:K03427	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HsdM_N,Methylase_S,N6_Mtase
G_100718_0_22_Ruminococcus_sp._OM05-10BH	1408324.JNJK01000006_gene1354	6.66e-164	479.0	COG0732@1|root,COG0732@2|Bacteria,1TT1D@1239|Firmicutes,24A13@186801|Clostridia,27MZ6@186928|unclassified Lachnospiraceae	186801|Clostridia	V	Type I restriction modification DNA specificity domain	-	-	3.1.21.3	ko:K01154	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Methylase_S
G_100718_0_24_Ruminococcus_sp._OM05-10BH	718252.FP2_18290	1.12e-64	209.0	29PGD@1|root,30AEI@2|Bacteria,1V44E@1239|Firmicutes,24W6C@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_25_Ruminococcus_sp._OM05-10BH	411459.RUMOBE_00765	2.65e-144	414.0	2ETWK@1|root,33MDT@2|Bacteria,1VP7T@1239|Firmicutes	1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_29_Ruminococcus_sp._OM05-10BH	97139.C824_03539	2.72e-36	124.0	COG3655@1|root,COG3655@2|Bacteria,1VI2R@1239|Firmicutes,25D59@186801|Clostridia,36Q1T@31979|Clostridiaceae	186801|Clostridia	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_26
G_100718_0_30_Ruminococcus_sp._OM05-10BH	1235798.C817_04892	2.57e-19	82.8	2F99N@1|root,341KS@2|Bacteria,1VX76@1239|Firmicutes,24NK1@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_31_Ruminococcus_sp._OM05-10BH	689781.AUJX01000006_gene902	3.92e-118	340.0	COG1961@1|root,COG1961@2|Bacteria,1UZ76@1239|Firmicutes,24G2D@186801|Clostridia	186801|Clostridia	L	resolvase	-	-	-	-	-	-	-	-	-	-	-	-	HTH_11,HTH_7,Resolvase
G_100718_0_32_Ruminococcus_sp._OM05-10BH	689781.AUJX01000006_gene911	2.3e-141	416.0	COG3843@1|root,COG3843@2|Bacteria,1UV2C@1239|Firmicutes,248YX@186801|Clostridia	186801|Clostridia	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
G_100718_0_33_Ruminococcus_sp._OM05-10BH	689781.AUJX01000006_gene912	2.96e-66	203.0	2ECAS@1|root,33693@2|Bacteria,1VIMD@1239|Firmicutes,24U37@186801|Clostridia	186801|Clostridia	S	Bacterial mobilisation protein (MobC)	-	-	-	-	-	-	-	-	-	-	-	-	MobC
G_100718_0_34_Ruminococcus_sp._OM05-10BH	877424.ATWC01000016_gene156	7.88e-88	260.0	2EXD1@1|root,33QPP@2|Bacteria,1VSMW@1239|Firmicutes,24ZM0@186801|Clostridia,27SVE@186928|unclassified Lachnospiraceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_36_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2706	3.95e-70	213.0	COG4962@1|root,COG4962@2|Bacteria,1TQ0Z@1239|Firmicutes,24TAM@186801|Clostridia	186801|Clostridia	U	Secretion system protein	-	-	-	ko:K02283	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	T2SSE
G_100718_0_37_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2705	2.04e-124	360.0	COG4965@1|root,COG4965@2|Bacteria,1V6PB@1239|Firmicutes,24JBR@186801|Clostridia,26BMJ@186813|unclassified Clostridiales	186801|Clostridia	U	Type II secretion system (T2SS), protein F	tadB	-	-	ko:K12510	-	-	-	-	ko00000,ko02044	-	-	-	T2SSF
G_100718_0_38_Ruminococcus_sp._OM05-10BH	1232452.BAIB02000020_gene2704	7.92e-227	635.0	COG2064@1|root,COG2064@2|Bacteria,1V2C3@1239|Firmicutes,24AN4@186801|Clostridia,26B0A@186813|unclassified Clostridiales	186801|Clostridia	NU	Psort location CytoplasmicMembrane, score	-	-	-	ko:K12511	-	-	-	-	ko00000,ko02044	-	-	-	T2SSF
G_100718_0_40_Ruminococcus_sp._OM05-10BH	742765.HMPREF9457_03235	5.87e-33	116.0	2EEYC@1|root,338RR@2|Bacteria,1VJ7I@1239|Firmicutes,24SPS@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_41_Ruminococcus_sp._OM05-10BH	1235792.C808_03843	3.12e-51	179.0	COG0582@1|root,COG0582@2|Bacteria,1U0FV@1239|Firmicutes,24B44@186801|Clostridia,27KC7@186928|unclassified Lachnospiraceae	186801|Clostridia	L	Phage integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
G_100718_0_43_Ruminococcus_sp._OM05-10BH	500632.CLONEX_02261	2.1e-126	360.0	28P9U@1|root,2ZC37@2|Bacteria,1V32C@1239|Firmicutes,24FS7@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
G_100718_0_44_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2959	1.12e-304	830.0	COG0389@1|root,COG0389@2|Bacteria,1TP42@1239|Firmicutes,248FH@186801|Clostridia,27WI2@189330|Dorea	186801|Clostridia	L	impB/mucB/samB family	-	-	-	ko:K03502	-	-	-	-	ko00000,ko03400	-	-	-	IMS,IMS_C,IMS_HHH
G_100718_0_45_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2960	2.1e-71	215.0	2CD9B@1|root,313JI@2|Bacteria,1TU5K@1239|Firmicutes,25ABP@186801|Clostridia,27X8X@189330|Dorea	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_46_Ruminococcus_sp._OM05-10BH	908340.HMPREF9406_0798	2.06e-17	77.4	2AJ8P@1|root,319TK@2|Bacteria,1V9F5@1239|Firmicutes,24KKK@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_47_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2961	1.2e-134	382.0	2E8VJ@1|root,3335U@2|Bacteria,1VFSQ@1239|Firmicutes,24RPI@186801|Clostridia,27X2Z@189330|Dorea	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_48_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2962	5.81e-219	603.0	COG0443@1|root,COG0443@2|Bacteria,1V76M@1239|Firmicutes,25FVB@186801|Clostridia	186801|Clostridia	O	Heat shock 70 kDa protein	-	-	-	ko:K18640	-	-	-	-	ko00000,ko04812	-	-	-	StbA
G_100718_0_49_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2963	1.07e-57	179.0	2EA91@1|root,33VQ6@2|Bacteria,1VVZ7@1239|Firmicutes,2518U@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_50_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2964	2.02e-28	102.0	2CB96@1|root,34BPY@2|Bacteria,1VZ8S@1239|Firmicutes,253H6@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_51_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2965	4.67e-80	239.0	2DBRQ@1|root,2ZAMZ@2|Bacteria,1VT6F@1239|Firmicutes,25AX2@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_52_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2966	1.46e-309	843.0	COG0270@1|root,COG0270@2|Bacteria,1TS3G@1239|Firmicutes,249Q9@186801|Clostridia	186801|Clostridia	H	Psort location Cytoplasmic, score	-	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase
G_100718_0_53_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2967	6.95e-239	655.0	28HR1@1|root,2Z7YI@2|Bacteria,1TRNR@1239|Firmicutes,2486X@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	Amidoligase_2
G_100718_0_54_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2968	9.07e-107	308.0	COG2105@1|root,COG2105@2|Bacteria,1VF7Y@1239|Firmicutes,24QU5@186801|Clostridia	186801|Clostridia	S	AIG2-like family	-	-	-	-	-	-	-	-	-	-	-	-	GGACT
G_100718_0_55_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2969	0.0	2957.0	COG4932@1|root,COG4932@2|Bacteria,1TRG6@1239|Firmicutes,2492K@186801|Clostridia	186801|Clostridia	M	Psort location Cellwall, score	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_56_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2970	2.74e-48	154.0	2ERPA@1|root,3341T@2|Bacteria,1VIB5@1239|Firmicutes,24QUC@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_57_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2971	7.69e-275	752.0	COG0192@1|root,COG0192@2|Bacteria,1TQ0Q@1239|Firmicutes,249X7@186801|Clostridia	186801|Clostridia	H	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme	metK3	-	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
G_100718_0_58_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2972	1.53e-244	670.0	COG0358@1|root,COG0358@2|Bacteria,1TSIU@1239|Firmicutes,2495Y@186801|Clostridia	186801|Clostridia	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF3991,Toprim_2
G_100718_0_59_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2973	6.87e-171	478.0	COG2105@1|root,COG2105@2|Bacteria,1UY8U@1239|Firmicutes,24BB2@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_60_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2974	3.45e-207	573.0	28PM6@1|root,33QUD@2|Bacteria,1VS4D@1239|Firmicutes,24YK4@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_61_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2975	6.18e-203	560.0	COG0863@1|root,COG0863@2|Bacteria,1TRDZ@1239|Firmicutes,249ZT@186801|Clostridia	186801|Clostridia	L	Belongs to the N(4) N(6)-methyltransferase family	-	-	2.1.1.72	ko:K00571	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	N6_N4_Mtase
G_100718_0_62_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2976	8.76e-73	218.0	29606@1|root,2ZTAU@2|Bacteria,1V3IE@1239|Firmicutes,24HEK@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_63_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2977	2.25e-27	99.4	2FEM3@1|root,346KG@2|Bacteria,1W0A9@1239|Firmicutes,2539V@186801|Clostridia	186801|Clostridia	S	Protein of unknown function (DUF3789)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3789
G_100718_0_64_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2978	7.7e-67	202.0	2CDK1@1|root,32MVT@2|Bacteria,1V7KV@1239|Firmicutes,24K9Q@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	MobC
G_100718_0_65_Ruminococcus_sp._OM05-10BH	500632.CLONEX_02238	8.29e-256	704.0	COG3843@1|root,COG3843@2|Bacteria,1VS18@1239|Firmicutes,24YHM@186801|Clostridia	186801|Clostridia	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
G_100718_0_66_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2980	4.34e-154	436.0	295P2@1|root,2Z92B@2|Bacteria,1UMQ5@1239|Firmicutes,24E3G@186801|Clostridia	186801|Clostridia	S	Protein of unknown function (DUF3801)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3801
G_100718_0_67_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2981	4.48e-231	635.0	COG4227@1|root,COG4227@2|Bacteria,1V3C4@1239|Firmicutes,24FSM@186801|Clostridia	186801|Clostridia	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_68_Ruminococcus_sp._OM05-10BH	1280698.AUJS01000051_gene2982	1.91e-66	201.0	2A3YK@1|root,33W1H@2|Bacteria,1VVYG@1239|Firmicutes,250UM@186801|Clostridia,27X7Z@189330|Dorea	1280698.AUJS01000051_gene2982|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_100718_0_69_Ruminococcus_sp._OM05-10BH	500632.CLONEX_02234	1.2e-63	194.0	2DNZQ@1|root,32ZY7@2|Bacteria,1UKRS@1239|Firmicutes,24T41@186801|Clostridia	186801|Clostridia	S	Domain of unknown function (DUF4314)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4314
G_100718_0_70_Ruminococcus_sp._OM05-10BH	500632.CLONEX_02233	7.2e-119	354.0	COG3505@1|root,COG3505@2|Bacteria,1TPCF@1239|Firmicutes,2489C@186801|Clostridia	186801|Clostridia	U	COG COG3505 Type IV secretory pathway, VirD4 components	-	-	-	ko:K03205	ko03070,map03070	M00333	-	-	ko00000,ko00001,ko00002,ko02044	3.A.7	-	-	T4SS-DNA_transf
